Description	condition	padj	pvalue	NES	geneID	coverage	setSize	qvalue
nucleobase-containing compound catabolic process	pg_rg	0.06442702173533102	1.0167927585156427e-4	1.8373337659596172	IPK1/RAD27/HAM1/TDH1/SKI2/PUB1/RPS28A/RTT101/CTH1/STO1/NPL4/PFK27/YLR345W/EFG1/YGR122W/DDP1/URH1/PYK2/TDH3/NAM7/CIT1/APA2/POP2/TDH2/SCS3	26.881720430107524	93	0.10799409403602984
cellular catabolic process	pg_rg	0.11876536712169435	5.45295533157458e-4	1.4664674577991252	IPK1/RAD27/SPT4/ILV1/VPS36/SAC1/ARF1/HAM1/TDH1/SKI2/GCV3/PUB1/RPS28A/RTT101/UBP3/APE2/CTH1/RTG3/VTC5/STO1/SLM4/MYO5/PXA1/NPL4/VPS27/PXA2/ATG27/PFK27/ADH5/GLO1/TRS85/VTC1/DSD1/YLR345W/KSP1/VPS30/CIR1/ATG15/GCV1/DCI1/EFG1/GET1/ATG29/LPX1/AHP1/YGR122W/RTC1/DDP1/URH1/AIM25/PYK2/TES1/KGD2/DAL7/TDH3/NAM7/CIT1/TGL4/APA2/YER010C/POP2/RPL14A/PLC1/TDH2/SCS3/GDE1	20.952380952380953	315	0.2399827511685187
carbohydrate derivative catabolic process	pg_rg	0.12008327516640549	9.924237617058304e-4	1.9201652651761636	TDH1/CTS2/PFK27/YLR345W/MNS1/GPD1/PNG1/DDP1/URH1/PYK2/TDH3/CIT1/APA2/YOS9/TDH2/SCS3	45.714285714285715	35	0.2399827511685187
organophosphate metabolic process	pg_rg	0.12466208621319286	0.0013557003782562502	1.4961515681265614	IPK1/OPI3/ATP20/KCS1/SAC1/HAM1/TDH1/FBP1/TKL1/LSB6/CRD1/ISN1/UPS1/YMR315W/THI12/PFK27/ADH5/YLR345W/VPS30/LSC1/ATG15/IDP2/GPD1/URA4/TAL1/NDE2/NMA2/DDP1/URH1/ACS1/PYK2/SOL3/TES1/KGD2/TDH3/BST1/CIT1/SLC1/TGL4/APA2/NCA3/LAT1/INO4/LPP1/OPY1/THI21/ERI1/PLC1/TDH2/SCS3/GDE1	26.02040816326531	196	0.2399827511685187
post-Golgi vesicle-mediated transport	pg_rg	0.13798726512182818	0.0016472308967711352	1.7863766955149976	ELO3/APM3/ARF1/APS3/APL6/YNR065C/APL5/GCS1/RCY1/BCH2	26.31578947368421	38	0.24097576090112513
nucleobase-containing small molecule metabolic process	pg_rg	0.14715518563505903	0.002380758244854202	1.5869400931261448	ATP20/STD1/HAM1/TDH1/TKL1/ISN1/YMR315W/PFK27/ADH5/YLR345W/LSC1/IDP2/GPD1/URA4/TAL1/NDE2/NMA2/DDP1/URH1/ACS1/PYK2/SOL3/TES1/KGD2/DAL7/TDH3/CIT1/APA2/NCA3/LAT1/SER1/TDH2/SCS3	27.500000000000004	120	0.24097576090112513
mitochondrial respiratory chain complex assembly	pg_rg	0.16846211828110125	0.003403275116789924	1.8235269877944593	PET122/MRP7/SDH5/COA3/PET100/SOM1	42.857142857142854	14	0.24097576090112513
nucleoside phosphate catabolic process	pg_rg	0.17907081259143093	0.003864246185398188	1.7274067462088174	HAM1/TDH1/PFK27/YLR345W/DDP1/PYK2/TDH3/CIT1/TDH2/SCS3	38.46153846153847	26	0.25320371608547887
small molecule metabolic process	pg_rg	0.190737820051058	0.004273320403447041	1.3133289439571623	ELO3/IPK1/ATP20/STD1/COQ6/ILV1/KCS1/ARF1/CYS3/HAM1/TDH1/MET6/FBP1/GCV3/TKL1/HTD2/THI2/VTC5/YAT2/ISN1/ORA1/YMR315W/PXA1/ELO2/THI12/COQ3/PXA2/PFK27/GAL80/ADH5/YAT1/GLO1/YBR053C/VTC1/DSD1/YLR345W/LSC1/CIR1/GCV1/SER3/IDP2/DCI1/GPD1/TRP4/MPA43/URA4/TAL1/NDE2/YJR096W/NMA2/UBC8/DDP1/URH1/ACS1/PYK2/SOL3/TES1/KGD2/LYS21/DAL7/TDH3/CIT1/APA2/NCA3/YER010C/LAT1/SER1/ARG4/SRT1/THI21/NIT3/LYS20/COQ10/PLC1/TDH2/SCS3	19.587628865979383	388	0.25320371608547887
ribonucleoprotein complex biogenesis	pg_rg	0.190737820051058	0.0042911630773654	1.5631730637538908	BRR1/RPL37B/SPT4/RPL26B/PIH1/ALB1/ACL4/RPL6B/RPL40B/RSA3/PUF6/RPS28A/RPL26A/RPL2A/ZUO1/RPS0A/RPL34A/RPS21B/SSZ1/EFG1/TIF4631/RPS18B/RPS1A/RPA34/SPT8/GEP3/RPL14A/RPL16B/TMA22/HSP82/REX4	26.72413793103448	116	0.25320371608547887
DNA conformation change	pg_rg	0.26991367111253933	0.009778304848071209	1.7737337359543626	SGS1/MMS4/YRF1-6/RAD54/RAD5	31.25	16	0.38465144607032553
response to salt stress	pg_rg	0.2757182551856324	0.01025398469698633	1.717387603307762	STD1/FRT1/MYO5	27.27272727272727	11	0.3889575398217747
mRNA metabolic process	pg_rg	0.30982070927452615	0.012889035560844296	1.4650428919561573	BRR1/IPK1/ECM2/SPT4/PIH1/SKI2/PUB1/RPS28A/SYC1/CTH1/STO1/SNT309	12.5	96	0.42969341313486453
cell death	pg_rg	0.30982070927452615	0.013332886388728347	-1.5835411218085325	MCA1/AIF1/NMA111/BMH2	16.666666666666664	24	0.42969341313486453
programmed cell death	pg_rg	0.30982070927452615	0.013332886388728347	-1.5835411218085325	MCA1/AIF1/NMA111/BMH2	16.666666666666664	24	0.42969341313486453
Golgi to vacuole transport	pg_rg	0.30982070927452615	0.01379825932030718	1.692080379771757	APM3/APS3/APL6/YNR065C/APL5	33.33333333333333	15	0.42969341313486453
protein retention in Golgi apparatus	pg_rg	0.3287723516232113	0.015211500569583685	1.6650918695786268	VPS36/UBP3/VPS27/VPS5	40	10	0.4412517440464249
generation of precursor metabolites and energy	pg_rg	0.3317072443882375	0.01583909706904348	1.4133824413273717	CSF1/COX8/GLC8/TDH1/SDH5/TKL1/SOD1/SDH1/YMR315W/PFK27/ADH5/YLR345W/LSC1/CIR1/MBR1/IDP2/YBR238C/TAL1/NDE2/ACS1/PYK2/SOL3/KGD2/DAL7/TDH3/CIT1/NCA3/PIG2/COQ10/TDH2	27.77777777777778	108	0.4412517440464249
fatty acid metabolic process	pg_rg	0.33608726566286146	0.016202554129752272	1.565412503748674	ELO3/ARF1/HTD2/YAT2/PXA1/ELO2/PXA2/YAT1/CIR1/DCI1/TES1	29.72972972972973	37	0.4412517440464249
protein-RNA complex organization	pg_rg	0.346735514039161	0.018148690817476745	1.5482726684358388	BRR1/PIH1/RPL6B/RPL40B/RSA3/RPS28A/RPS0A/TIF4631/RPL14A/TMA22/HSP82/REX4/TAH1/RPS27A/THO1/RPL40A/TIF2/SSF2	39.130434782608695	46	0.45894809611112874
protein-RNA complex assembly	pg_rg	0.36410792494949984	0.019559516629518586	1.5863572786063174	BRR1/PIH1/RPL6B/RPL40B/RSA3/RPS28A/RPS0A/TIF4631/RPL14A/TMA22/HSP82/REX4/TAH1/RPS27A/THO1/RPL40A/TIF2/SSF2	41.86046511627907	43	0.46477876896872394
macromolecule modification	pg_rg	0.36419111162980145	0.020013934244750346	-1.2933614353839424	OST6/SSK22/ATG12/MTO1/CLB4/GTT1/MNN5/YIH1/LIP2/USA1/SMM1/UBA3/ZIP1/ASR1/PMT7/PPT1/MNN10/RRT2/DUS4/SSP2/PTC4/RPP1B/TRM7/CYT2/LAS21/TUL1/YMR196W/RRP8/CYC2/UBP6/PEX4/PCI8/PUS6/MNL2/ELP4/SAP190/BUL1/KCC4/LIA1/TRM8/HMT1/UFD2/UBA4/MAK3/OST3/BMH2/ESC2/ELP6/TOM1/TGS1	19.45525291828794	257	0.46477876896872394
catabolic process	pg_rg	0.37938646510040863	0.022259431370540563	1.2151544452531433	IPK1/RAD27/SPT4/UBC4/ILV1/UBR1/VPS36/SAC1/ARF1/RPL40B/HAM1/NAT3/TDH1/SKI2/GCV3/VMS1/CTS2/PUB1/RPS28A/RTT101/YUH1/UBP3/APE2/CTH1/RTG3/VTC5/STO1/SLM4/MYO5/BSD2/PXA1/NPL4/VPS27/PXA2/ATG27/PSH1/PFK27/ADH5/GLO1/TRS85/UBX4/VTC1/DCW1/DSD1/YLR345W/KSP1/VPS30/CIR1/ATG15/MNS1/GCV1/DCI1/EFG1/GPD1/GET1/ATG29/YJR096W/LPX1/AHP1/PNG1/YGR122W/UBC8/RTC1/DDP1/URH1/AIM25/PYK2/TES1/KGD2/DAL7/TDH3/NAM7/BST1/CIT1/JEM1/REG1/TGL4/APA2/YER010C/YOS9/NIT3/MAC1/POP2/RPL14A/PLC1/TDH2/SCS3/GDE1/SMY2	17.835671342685373	499	0.4741881019180965
protein-containing complex assembly	pg_rg	0.37938646510040863	0.02281892880080511	1.3498945013595658	BRR1/ATP20/HHF1/PET122/PIH1/INA22/RPL6B/RPL40B/MRP7/SDH5/RSA3/RPS28A/ASF1/BIK1/COA3/PET100/SOM1/RBL2/HHF2/RAD5/RPS0A/MVB12	12.790697674418606	172	0.4741881019180965
protein localization to Golgi apparatus	pg_rg	0.38175353587323624	0.023535442805689276	1.63929174984805	VPS36/ARF1/UBP3/VPS27/VPS5	33.33333333333333	15	0.4741881019180965
protein maturation	pg_rg	0.38175353587323624	0.02358114771690716	1.3791731845438682	CSF1/PHO86/PIH1/ACL4/NAT3/GCV3/RIM13/HSP26/RBL2/FPR2/AHA1/ZUO1/CPR7/SSZ1/ATG15/ALF1/FLC1/ICP55/RCE1/JEM1/EMC2/EMC1/APJ1/HSP82/ENV11/ATG42/GSF2/UBX2/SDH8/TAH1/PSD1/BTN2	31.06796116504854	103	0.4741881019180965
DNA-templated DNA replication maintenance of fidelity	pg_rg	0.38175353587323624	0.02366240924834109	1.626221660344121	MMS4/RTT101/FOB1	25	12	0.4741881019180965
response to abiotic stimulus	pg_rg	0.39939373573926507	0.025305939179071892	1.4411701902871379	STD1/OLA1/RIM21/NUP2/SIP18/FRT1/UBP3/HSP26/STO1/MYO5/DDC1/GPD1/AIM25/RIM101/HSP82/GAC1/CIN5/NRG1/TPS2/TOR1/MSB2/GCN3/NHA1/SSK2	30.76923076923077	78	0.4799566284151041
alcohol biosynthetic process	pg_rg	0.42615448194514655	0.029210487112548776	1.5258029241526159	IPK1/KCS1/THI2/THI12/ADH5/SRT1/THI21/PLC1/LCB4/THI6	38.46153846153847	26	0.5247167816267644
spindle pole body organization	pg_rg	0.42615448194514655	0.02964207785205705	1.6017750827918962	POM34/POM152/CIN8	30	10	0.5247167816267644
ATP metabolic process	pg_rg	0.4317633290332151	0.030873738279151068	1.5779174712594624	ATP20/TDH1/PFK27/YLR345W/PYK2/TDH3/NCA3/TDH2	38.095238095238095	21	0.5288896761233179
amine metabolic process	pg_rg	0.44717716194815404	0.033757156633910254	-1.4644254893920556	FMP32/ALD3/YNL097C-B/TRP2/TRP1/LEU3/ARG81/ARO10/PUT3/TRP3/ALD2/BNA4	42.857142857142854	28	0.5535538662810544
